keep_athlete_id,merge_athlete_id,notes
104983,355077353,Max Stapley - GBR. WT short-course account (104983) and PTO long-course account (355077353) are the same athlete; no overlap-race for the auto matcher to link them.
1669910297,169583,Will Draper - GBR. PTO long-course account is canonical (34+ races); the WT account (169583, 'William Draper' under Isle of Man) is a one-off Commonwealth Games entry. Drop the IOM nationality observation.
94515,13299610,Solveig Løvseth - NOR. WT account (94515) holds the bulk of her career; the PTO account (13299610, slug 'solveig-loevseth') only has long-course entries. Auto matcher missed them.
74996,1336459614,Nagiho Ishida - JPN. WT account (74996) holds 25 short/sprint races; the PTO account (1336459614, slug 'nagiho-ishida') only has 2 ITU long-distance entries (2017-2018). No overlap race for the auto matcher.
139677,1667990216,Joona Tuikka - FIN (yob 1988). WT account (139677) holds 5 short/standard races (2019-2023); PTO account (1667990216) holds 9 middle/long entries (2018-2022) but has yob=0 so the auto matcher refused to merge. No overlap race.
137125,379496623,Joona Lehtonen - FIN (yob 2001). WT account (137125) holds 11 short/standard races (2019-2024); PTO account (379496623) holds 2 middle-distance entries (2025) with yob=0 so the auto matcher refused to merge. No overlap race.
69143,2116501904,"Manoel Messias - BRA. WT short-course account (69143) holds 117 sprint/standard races (2013-2026); the PTO account (2116501904, slug 'manoel-messias-dos-santos') only has 9 long-course entries (2020-2025). No overlap race for the auto matcher."
122353,325274819,"Erin McConnell - IRL. FGP row 'Erin Mcconel' (no licence/yob) is the same athlete; matcher held it as a candidate on the spelling gap. Keep the DB name."
114052,715939731,"Niall Caley - GBR. FGP row 'Naill Caley' (licence C14994, no yob) is the same athlete; held on the transposed spelling. Keep the DB name."
198604,1568015902,"Léa Reviglio - FRA. FGP row 'L Reviglio' (no licence/yob, truncated first name) is the same athlete. Keep the DB name."
47879,1110802659,"Audric Lambolez - FRA. FGP row 'Audric Lambrelez' (no licence/yob) is the same athlete; held on the spelling gap. Keep the DB name."
131976,405330075,"Shannon Kelly - IRL. FGP row 'Shannon Amy Kelly' (licence C12163, no yob) is the same athlete (added middle name). Keep the DB name."
119350,1873558757,"Jessica Ewart-Mctigue - AUS. FGP row 'Jess Ewart Mc Tigue' (licence C12581, no yob) is the same athlete. Keep the DB name."
115421,1914576387,"Jose Luis Cano Villanueva - PTO account 'Jose Luis Canovillanueva' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
